word,count,frequency_rank,train_count,standard_frequency_rank
娇弱,4,892,4,714
学,4,893,0,
学者,4,894,4,715
定下,4,895,4,718
宝藏,4,896,4,719
宝贝,4,897,2,1348
容,4,898,2,1354
容易,4,899,2,1355
小心翼翼,4,900,4,722
尖,4,901,4,724
尽管,4,902,2,1368
居民,4,903,2,1371
居然,4,904,2,1372
岛屿,4,905,4,725
崇拜者,4,906,4,726
差不多,4,907,4,727
差事,4,908,0,
巴掌,4,909,4,728
布娃娃,4,910,4,729
带到,4,911,2,1384
干吗,4,912,2,1389
年,4,913,4,731
应声,4,914,0,
应当,4,915,4,732
弄懂,4,916,0,
张,4,917,4,733
张开,4,918,2,1408
当初,4,919,2,1410
当天,4,920,2,1411
往前走,4,921,2,1417
待,4,922,2,1419
很多,4,923,2,1420
微微,4,924,4,736
心头,4,925,2,1427
心灵,4,926,2,1430
心跳,4,927,4,737
必须,4,928,4,738
忘,4,929,0,
忠于职守,4,930,0,
忽略,4,931,4,741
思路,4,932,4,743
怯生生,4,933,4,744
悄悄,4,934,2,1454
您好,4,935,4,746
悲剧,4,936,2,1459
情形,4,937,4,748
想法,4,938,2,1469
想象,4,939,2,1470
惹,4,940,2,1472
感冒,4,941,0,
成功,4,942,2,1481
或,4,943,1,2146
手势,4,944,4,750
打了个,4,945,4,751
打开,4,946,4,752
打扮,4,947,4,753
打算,4,948,0,
承认,4,949,2,1505
折磨,4,950,4,754
抬头,4,951,4,755
抬起,4,952,4,756
抵御,4,953,4,757
拥有,4,954,4,758
拿出,4,955,2,1521
挤,4,956,2,1525
挪动,4,957,4,759
捉,4,958,4,760
掉,4,959,2,1531
掏出,4,960,0,
揉,4,961,0,
提供,4,962,4,761
提议,4,963,2,1543
握,4,964,4,762
揪,4,965,2,1547
摘下,4,966,4,763
擦,4,967,0,
改变,4,968,0,
放在,4,969,2,1564
放过,4,970,4,764
故障,4,971,2,1570
新,4,972,4,765
旅途,4,973,2,1579
无关紧要,4,974,4,767
旧,4,975,2,1585
早上,4,976,2,1587
早餐,4,977,2,1590
时光,4,978,4,768
明天,4,979,0,
星期,4,980,0,
星期四,4,981,4,769
晃动,4,982,0,
普普通通,4,983,4,772
景象,4,984,4,773
最小,4,985,2,1606
有意思,4,986,4,775
有没有,4,987,2,1611
服装,4,988,4,778
望远镜,4,989,4,779
本书,4,990,2,1616
本来,4,991,4,780
本质,4,992,4,781
机会,4,993,0,
权力,4,994,4,782
权威,4,995,4,783
村庄,4,996,0,
来到,4,997,2,1620
来看,4,998,2,1622
某个,4,999,4,785
柔情,4,1000,2,1628
树皮,4,1001,4,786
株,4,1002,4,787
样样,4,1003,0,
格外,4,1004,0,
梳洗,4,1005,0,
模样,4,1006,4,789
次日,4,1007,2,1642
